[size=10][x=3][y=14][type=0] 	=> 0.000647
[size=8][x=19][y=21][type=1] 	=> 0.000646
[size=5][x=0][y=20][type=2] 	=> 0.000643
[size=5][x=26][y=13][type=1] 	=> 0.000639
[size=5][x=14][y=17][type=2] 	=> 0.000639
[size=8][x=22][y=17][type=1] 	=> 0.000636
[size=10][x=27][y=3][type=2] 	=> 0.000633
[size=5][x=23][y=15][type=2] 	=> 0.000632
[size=8][x=16][y=6][type=2] 	=> 0.000630
[size=5][x=15][y=17][type=2] 	=> 0.000626
[size=8][x=18][y=16][type=0] 	=> 0.000625
[size=8][x=7][y=24][type=1] 	=> 0.000625
[size=8][x=20][y=2][type=1] 	=> 0.000622
[size=20][x=18][y=16][type=0] 	=> 0.000622
[size=5][x=3][y=21][type=0] 	=> 0.000622
[size=20][x=8][y=11][type=2] 	=> 0.000618
[size=5][x=7][y=21][type=1] 	=> 0.000617
[size=10][x=26][y=8][type=1] 	=> 0.000617
[size=10][x=23][y=20][type=0] 	=> 0.000615
[size=8][x=13][y=29][type=1] 	=> 0.000614
[size=8][x=17][y=17][type=0] 	=> 0.000612
[size=8][x=29][y=15][type=0] 	=> 0.000611
[size=4][x=17][y=12][type=0] 	=> 0.000609
[size=8][x=12][y=12][type=0] 	=> 0.000609
[size=10][x=26][y=5][type=1] 	=> 0.000608
[size=20][x=3][y=16][type=0] 	=> 0.000604
[size=20][x=18][y=6][type=1] 	=> 0.000603
[size=10][x=25][y=20][type=2] 	=> 0.000601
[size=4][x=14][y=18][type=0] 	=> 0.000598
[size=10][x=3][y=20][type=1] 	=> 0.000594
[size=10][x=1][y=17][type=0] 	=> 0.000594
[size=8][x=13][y=1][type=1] 	=> 0.000593
[size=8][x=8][y=19][type=2] 	=> 0.000593
[size=10][x=25][y=19][type=2] 	=> 0.000591
[size=10][x=11][y=18][type=1] 	=> 0.000589
[size=10][x=1][y=20][type=0] 	=> 0.000588
[size=4][x=29][y=7][type=2] 	=> 0.000587
[size=10][x=9][y=29][type=2] 	=> 0.000586
[size=10][x=17][y=8][type=0] 	=> 0.000582
[size=8][x=15][y=14][type=1] 	=> 0.000581
[size=10][x=20][y=4][type=0] 	=> 0.000581
[size=8][x=11][y=24][type=1] 	=> 0.000581
[size=20][x=12][y=5][type=1] 	=> 0.000581
[size=4][x=28][y=6][type=1] 	=> 0.000578
[size=10][x=17][y=16][type=1] 	=> 0.000578
[size=20][x=19][y=13][type=0] 	=> 0.000578
[size=10][x=21][y=29][type=1] 	=> 0.000578
[size=8][x=30][y=17][type=0] 	=> 0.000577
[size=10][x=9][y=13][type=0] 	=> 0.000576
[size=5][x=8][y=9][type=0] 	=> 0.000576
[size=5][x=29][y=26][type=1] 	=> 0.000575
[size=8][x=8][y=26][type=0] 	=> 0.000575
[size=10][x=14][y=16][type=0] 	=> 0.000574
[size=5][x=24][y=4][type=0] 	=> 0.000572
[size=20][x=4][y=4][type=2] 	=> 0.000568
[size=10][x=10][y=8][type=1] 	=> 0.000568
[size=8][x=28][y=5][type=0] 	=> 0.000567
[size=20][x=17][y=15][type=2] 	=> 0.000567
[size=8][x=11][y=11][type=1] 	=> 0.000567
[size=5][x=9][y=28][type=0] 	=> 0.000566
[size=20][x=0][y=14][type=0] 	=> 0.000566
[size=8][x=19][y=14][type=1] 	=> 0.000564
[size=8][x=28][y=17][type=1] 	=> 0.000562
[size=20][x=7][y=16][type=1] 	=> 0.000562
[size=8][x=18][y=7][type=0] 	=> 0.000562
[size=8][x=8][y=17][type=1] 	=> 0.000561
[size=5][x=18][y=21][type=2] 	=> 0.000559
[size=5][x=27][y=4][type=1] 	=> 0.000557
[size=10][x=8][y=6][type=0] 	=> 0.000557
[size=20][x=9][y=4][type=0] 	=> 0.000557
[size=20][x=16][y=17][type=2] 	=> 0.000555
[size=20][x=15][y=9][type=0] 	=> 0.000555
[size=5][x=34][y=13][type=0] 	=> 0.000555
[size=10][x=7][y=21][type=1] 	=> 0.000555
[size=20][x=14][y=13][type=1] 	=> 0.000554
[size=20][x=19][y=5][type=1] 	=> 0.000552
[size=10][x=1][y=15][type=0] 	=> 0.000551
[size=10][x=28][y=11][type=0] 	=> 0.000547
[size=20][x=1][y=4][type=2] 	=> 0.000545
[size=4][x=17][y=20][type=0] 	=> 0.000544
[size=8][x=3][y=22][type=0] 	=> 0.000543
[size=8][x=20][y=14][type=0] 	=> 0.000541
[size=5][x=16][y=19][type=0] 	=> 0.000541
[size=8][x=28][y=14][type=0] 	=> 0.000541
[size=8][x=20][y=20][type=2] 	=> 0.000532
[size=4][x=26][y=19][type=2] 	=> 0.000531
[size=10][x=7][y=15][type=0] 	=> 0.000530
[size=4][x=12][y=24][type=0] 	=> 0.000529
[size=8][x=30][y=12][type=2] 	=> 0.000528
